product_name,platform,date,price,discount,rating
Bath Towel Premium,Ajio,2025-08-01,342.68,15.5,4.3
Bath Towel Premium,Ajio,2025-08-02,351.43,10.6,4.2
Bath Towel Premium,Ajio,2025-08-03,366.17,20.1,4.1
Bath Towel Premium,Ajio,2025-08-04,400.14,10.3,3.7
Bath Towel Premium,Ajio,2025-08-05,379.35,13.3,4.5
Bath Towel Premium,Ajio,2025-08-06,397.26,19.2,4.4
Bath Towel Premium,Ajio,2025-08-07,375.45,20.1,4.0
Bath Towel Premium,Ajio,2025-08-08,381.37,21.5,3.9
Bath Towel Premium,Ajio,2025-08-09,406.0,22.9,4.6
Bath Towel Premium,Ajio,2025-08-10,360.05,10.6,4.1
Bath Towel Premium,Ajio,2025-08-11,362.54,24.0,4.6
Bath Towel Premium,Ajio,2025-08-12,357.07,22.5,4.3
Bath Towel Premium,Ajio,2025-08-13,353.7,16.5,4.6
Bath Towel Premium,Ajio,2025-08-14,378.75,14.0,4.1
Bath Towel Premium,Ajio,2025-08-15,385.13,24.3,4.1
Bath Towel Premium,Ajio,2025-08-16,365.29,23.5,4.5
Bath Towel Premium,Ajio,2025-08-17,344.2,10.4,4.5
Bath Towel Premium,Ajio,2025-08-18,350.31,21.7,3.7
Bath Towel Premium,Ajio,2025-08-19,342.82,16.7,4.8
Bath Towel Premium,Ajio,2025-08-20,321.71,15.2,4.7
Bath Towel Premium,Ajio,2025-08-21,338.68,24.8,3.6
Bath Towel Premium,Ajio,2025-08-22,346.0,20.9,4.1
Bath Towel Premium,Ajio,2025-08-23,310.25,10.8,4.3
Bath Towel Premium,Ajio,2025-08-24,326.12,19.1,4.2
Bath Towel Premium,Ajio,2025-08-25,333.73,25.1,4.2
Bath Towel Premium,Ajio,2025-08-26,321.83,16.3,4.2
Bath Towel Premium,Ajio,2025-08-27,325.07,10.0,4.6
Bath Towel Premium,Ajio,2025-08-28,353.39,9.6,3.9
Bath Towel Premium,Ajio,2025-08-29,321.91,15.5,4.3
Bath Towel Premium,Ajio,2025-08-30,322.49,22.8,4.5
Bath Towel Premium,Ajio,2025-08-31,368.18,16.5,3.8
Bath Towel Premium,Ajio,2025-09-01,377.7,32.5,4.6
Bath Towel Premium,Ajio,2025-09-02,354.73,20.0,4.2
Bath Towel Premium,Ajio,2025-09-03,395.71,23.2,5.0
Bath Towel Premium,Ajio,2025-09-04,391.35,21.1,3.3
Bath Towel Premium,Ajio,2025-09-05,385.26,16.5,3.8
Bath Towel Premium,Ajio,2025-09-06,371.07,18.9,5.0
Bath Towel Premium,Ajio,2025-09-07,412.24,17.4,4.9
Bath Towel Premium,Ajio,2025-09-08,392.98,10.9,4.3
Bath Towel Premium,Ajio,2025-09-09,362.91,16.0,5.0
Bath Towel Premium,Ajio,2025-09-10,374.4,13.2,4.6
Bath Towel Premium,Ajio,2025-09-11,366.83,24.0,4.8
Bath Towel Premium,Ajio,2025-09-12,371.99,22.6,4.5
Bath Towel Premium,Ajio,2025-09-13,366.42,15.1,4.0
Bath Towel Premium,Ajio,2025-09-14,352.35,12.5,3.6
Bath Towel Premium,Ajio,2025-09-15,400.4,14.4,3.7
Bath Towel Premium,Ajio,2025-09-16,360.65,23.2,4.5
Bath Towel Premium,Ajio,2025-09-17,332.42,20.9,4.9
Bath Towel Premium,Ajio,2025-09-18,316.94,22.7,4.3
Bath Towel Premium,Ajio,2025-09-19,324.78,13.7,4.9
Bath Towel Premium,Ajio,2025-09-20,317.0,8.6,3.4
Bath Towel Premium,Ajio,2025-09-21,303.01,19.0,3.3
Bath Towel Premium,Ajio,2025-09-22,308.29,23.8,4.7
Bath Towel Premium,Ajio,2025-09-23,340.95,16.4,5.0
Bath Towel Premium,Ajio,2025-09-24,325.19,16.7,4.0
Bath Towel Premium,Ajio,2025-09-25,314.18,21.4,4.5
Bath Towel Premium,Ajio,2025-09-26,373.63,18.1,3.4
Bath Towel Premium,Ajio,2025-09-27,326.63,14.8,4.3
Bath Towel Premium,Ajio,2025-09-28,337.89,10.2,5.0
Bath Towel Premium,Ajio,2025-09-29,346.91,13.7,5.0
Bath Towel Premium,Ajio,2025-09-30,342.88,12.1,3.9
Bath Towel Premium,Ajio,2025-10-01,364.64,36.1,4.2
Bath Towel Premium,Ajio,2025-10-02,374.45,15.9,4.7
Bath Towel Premium,Ajio,2025-10-03,359.41,18.6,3.6
Bath Towel Premium,Ajio,2025-10-04,413.68,12.0,3.9
Bath Towel Premium,Ajio,2025-10-05,397.48,10.5,3.7
Bath Towel Premium,Ajio,2025-10-06,372.02,22.4,4.2
Bath Towel Premium,Ajio,2025-10-07,419.1,17.3,4.3
Bath Towel Premium,Ajio,2025-10-08,418.28,22.4,4.8
Bath Towel Premium,Ajio,2025-10-09,410.32,22.6,4.1
Bath Towel Premium,Ajio,2025-10-10,401.64,8.6,4.2
Bath Towel Premium,Ajio,2025-10-11,402.48,20.6,3.8
Bath Towel Premium,Ajio,2025-10-12,353.97,12.4,4.9
Bath Towel Premium,Ajio,2025-10-13,366.75,21.2,3.7
Bath Towel Premium,Ajio,2025-10-14,416.79,22.7,4.3
Bath Towel Premium,Ajio,2025-10-15,374.07,20.3,3.9
Bath Towel Premium,Ajio,2025-10-16,359.58,18.3,3.3
Bath Towel Premium,Ajio,2025-10-17,368.89,20.9,4.0
Bath Towel Premium,Ajio,2025-10-18,358.42,11.3,4.8
Bath Towel Premium,Ajio,2025-10-19,344.47,9.3,4.0
Bath Towel Premium,Ajio,2025-10-20,315.33,18.1,3.8
Bath Towel Premium,Ajio,2025-10-21,351.86,14.5,4.2
Bath Towel Premium,Ajio,2025-10-22,339.97,14.6,3.9
Bath Towel Premium,Ajio,2025-10-23,350.2,8.2,3.8
Bath Towel Premium,Ajio,2025-10-24,361.54,10.2,4.5
Bath Towel Premium,Ajio,2025-10-25,361.58,35.9,3.9
Bath Towel Premium,Ajio,2025-10-26,326.65,15.1,4.2
Bath Towel Premium,Ajio,2025-10-27,350.32,8.1,3.5
Bath Towel Premium,Ajio,2025-10-28,341.85,11.9,4.1
Bath Towel Premium,Ajio,2025-10-29,369.03,20.8,3.8
Bath Towel Premium,Ajio,2025-10-30,392.94,19.8,4.4
Bath Towel Premium,Ajio,2025-10-31,407.52,20.3,4.3
Bath Towel Premium,Ajio,2025-11-01,385.75,16.6,5.0
Bath Towel Premium,Ajio,2025-11-02,375.07,23.3,5.0
Bath Towel Premium,Ajio,2025-11-03,435.89,22.3,4.2
Bath Towel Premium,Ajio,2025-11-04,396.91,14.5,4.9
Bath Towel Premium,Ajio,2025-11-05,419.7,10.8,3.9
Bath Towel Premium,Ajio,2025-11-06,431.13,18.8,3.7
Bath Towel Premium,Ajio,2025-11-07,365.27,12.0,4.8
Bath Towel Premium,Ajio,2025-11-08,442.91,23.6,3.8
Bath Towel Premium,Ajio,2025-11-09,414.39,14.6,5.0
Bath Towel Premium,Ajio,2025-11-10,414.17,18.8,5.0
Bath Towel Premium,Ajio,2025-11-11,395.72,15.6,3.6
Bath Towel Premium,Ajio,2025-11-12,387.53,21.9,4.1
Bath Towel Premium,Ajio,2025-11-13,376.36,20.3,4.3
Bath Towel Premium,Ajio,2025-11-14,409.92,14.0,3.8
Bath Towel Premium,Ajio,2025-11-15,410.04,13.2,3.9
Bath Towel Premium,Ajio,2025-11-16,404.17,15.4,4.9
Bath Towel Premium,Ajio,2025-11-17,382.58,14.4,4.6
Bath Towel Premium,Ajio,2025-11-18,357.21,15.0,4.5
Bath Towel Premium,Ajio,2025-11-19,390.64,14.2,4.0
Bath Towel Premium,Ajio,2025-11-20,285.69,22.0,3.4
Bath Towel Premium,Ajio,2025-11-21,340.74,19.1,4.9
Bath Towel Premium,Ajio,2025-11-22,363.81,22.7,3.8
Bath Towel Premium,Ajio,2025-11-23,371.5,17.8,3.9
Bath Towel Premium,Ajio,2025-11-24,373.26,11.7,4.3
Bath Towel Premium,Ajio,2025-11-25,339.91,14.2,4.2
Bath Towel Premium,Ajio,2025-11-26,367.08,21.8,4.3
Bath Towel Premium,Ajio,2025-11-27,372.58,11.7,5.0
Bath Towel Premium,Ajio,2025-11-28,393.04,11.8,4.4
Bath Towel Premium,Ajio,2025-11-29,395.31,18.5,4.6
Bath Towel Premium,Ajio,2025-11-30,387.22,11.1,4.2
Bath Towel Premium,Ajio,2025-12-01,413.72,31.4,3.8
Bath Towel Premium,Ajio,2025-12-02,397.37,25.0,3.6
Bath Towel Premium,Ajio,2025-12-03,385.99,8.0,3.7
Bath Towel Premium,Ajio,2025-12-04,431.4,22.4,4.0
Bath Towel Premium,Ajio,2025-12-05,421.74,9.3,4.5
Bath Towel Premium,Ajio,2025-12-06,423.75,17.1,4.2
Bath Towel Premium,Ajio,2025-12-07,422.45,16.2,4.0
Bath Towel Premium,Ajio,2025-12-08,410.47,24.6,4.6
Bath Towel Premium,Ajio,2025-12-09,413.91,24.5,4.1
Bath Towel Premium,Ajio,2025-12-10,453.43,13.4,4.1
